,최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option,Unnamed: 14
42,2020.04.09,"64,435km",가솔린,"1,598cc",폴라 화이트,블랙모노톤,SUV,5인승,2WD,390노7540,2020년,CVT,"17,700,000","하이패스, 열선 스티어링 휠, 열선 시트 (1열), 선루프, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보",
43,2020.01.01,"11,439km",가솔린,"1,598cc",데님 블루 펄,블랙모노톤,SUV,5인승,2WD,224러6228,2020년,CVT,"18,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 선루프, 후방 모니터, 차선 이탈 경보",
44,2020.06.03,"5,358km",가솔린,"1,598cc",더데님블루펄(초크화이트),블랙모노톤,SUV,5인승,2WD,176오8854,2020년,CVT,"17,600,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 후방 모니터, 차선 이탈 경보",
45,2021.11.17,"9,714km",가솔린,998cc,톰보이 카키,다크그레이/라이트카키(오렌지포인트),SUV,4인승,2WD,233로6036,2021년,오토,"15,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤",
46,2022.04.19,"8,323km",가솔린,998cc,아틀라스 화이트,블랙모노톤,SUV,4인승,2WD,233로6035,2022년,오토,"14,600,000","열선 스티어링 휠, 열선 시트 (1열), 통풍 시트 (운전석), 차선 이탈 경보",
47,2021.10.12,"35,738km",가솔린,998cc,티탄 그레이 메탈릭,블랙모노톤,SUV,4인승,2WD,185마5871,2021년,오토,"15,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤",
48,2022.10.16,"11,414km",가솔린,998cc,소울트로닉 오렌지 펄,블랙모노톤,SUV,4인승,2WD,152도6568,2022년,오토,"13,500,000","내비게이션, 후방 모니터, 차선 이탈 경보",
49,2022.05.26,"4,577km",가솔린,998cc,아틀라스 화이트,블랙모노톤,SUV,4인승,2WD,312저6861,2022년,오토,"16,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤",
50,2023.10.29,"12,798km",가솔린,998cc,아틀라스 화이트,블랙모노톤,SUV,4인승,2WD,173더9078,2023년,오토,"17,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤",
51,2020.12.21,"7,761km",가솔린,"1,598cc",아틀라스 화이트,블랙,SUV,5인승,AWD,183무1480,2020년,오토,"28,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 선루프, 헤드업 디스플레이, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
