,최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option,Unnamed: 14
208,2022.04.24,"40,705km",가솔린,"2,497cc",마칼루 그레이,블랙모노톤,승용,5인승,AWD,103우9303,2022년,오토,"49,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
209,2020.06.03,"70,841km",가솔린,"3,470cc",비크 블랙,블랙모노톤(애쉬 메탈릭 그라데이션),승용,5인승,AWD,163우2931,2020년,오토,"43,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
210,2022.11.24,"1,823km",가솔린,"3,470cc",한라산 그린,옵시디언블랙모노톤/레드스티치,승용,5인승,2WD,249고4784,2022년,오토,"74,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
211,2020.06.16,"44,182km",가솔린,"2,497cc",비크 블랙,하바나 브라운,승용,5인승,2WD,390수4870,2020년,오토,"44,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
212,2023.07.27,"1,231km",가솔린,"3,470cc",한라산 그린,포레스트 블루(애쉬 메탈릭 그라데이션),승용,5인승,AWD,255노5190,2023년,오토,"72,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
213,2023.07.27,"2,287km",가솔린,"3,470cc",태즈먼 블루,듄 베이지(애쉬 메탈릭 그라데이션),승용,5인승,AWD,223두1346,2023년,오토,"72,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
214,2023.08.28,"1,325km",가솔린,"3,470cc",마칼루 그레이,옵시디언블랙/세비야레드투톤,승용,5인승,AWD,235우3606,2023년,오토,"76,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
215,2022.11.20,"3,230km",가솔린,"2,497cc",카프리 블루,바닐라 베이지 위빙,승용,5인승,AWD,151소5026,2022년,오토,"69,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
216,2022.11.20,"1,891km",가솔린,"2,497cc",카프리 블루,바닐라 베이지 위빙,승용,5인승,2WD,151소5068,2022년,오토,"69,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
217,2022.11.20,"5,537km",가솔린,"2,497cc",비크 블랙,블랙모노톤,승용,5인승,AWD,151소5076,2022년,오토,"68,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
218,2022.11.20,"10,796km",가솔린,"2,497cc",한라산 그린,하바나 브라운(애쉬 칼라 그라데이션),승용,5인승,AWD,151소5018,2022년,오토,"64,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
219,2022.11.24,"9,292km",가솔린,"2,497cc",본드 실버 (무광),블랙모노톤,승용,5인승,AWD,249고4742,2022년,오토,"67,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
220,2020.04.22,"84,518km",가솔린,"2,497cc",카본 메탈,블랙모노톤,승용,5인승,AWD,158오9536,2020년,오토,"44,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
221,2020.12.15,"21,046km",가솔린,"3,470cc",로얄 블루,블랙모노톤,승용,5인승,AWD,286다8115,2020년,오토,"51,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
222,2021.04.15,"79,687km",가솔린,"2,497cc",세빌 실버,블랙모노톤,승용,5인승,AWD,224러6262,2021년,오토,"41,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
223,2022.03.24,"61,419km",가솔린,"2,497cc",마칼루 그레이,하바나 브라운,승용,5인승,AWD,233로6032,2022년,오토,"56,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
224,2021.04.19,"31,389km",가솔린,"2,497cc",비크 블랙,블랙모노톤,승용,5인승,2WD,233로6047,2021년,오토,"49,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
225,2021.03.04,"75,595km",가솔린,"2,497cc",비크 블랙,블랙모노톤,승용,5인승,AWD,233로6067,2021년,오토,"45,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
226,2020.06.08,"72,446km",가솔린,"2,497cc",비크 블랙,블랙모노톤,승용,5인승,AWD,111러4633,2020년,오토,"46,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
227,2021.01.07,"91,500km",가솔린,"2,497cc",비크 블랙,블랙모노톤,승용,5인승,AWD,233로6081,2021년,오토,"49,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
228,2020.11.25,"54,797km",가솔린,"2,497cc",태즈먼 블루,하바나 브라운,승용,5인승,AWD,104보2736,2020년,오토,"47,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
229,2020.04.13,"85,669km",가솔린,"2,497cc",카본 메탈,블랙모노톤,승용,5인승,AWD,224러6294,2020년,오토,"44,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
230,2020.06.23,"83,512km",가솔린,"2,497cc",비크 블랙,블랙모노톤(애쉬 칼라 그라데이션),승용,5인승,AWD,365버2870,2020년,오토,"44,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
231,2021.05.06,"28,803km",가솔린,"2,497cc",핀도스 그린,블랙모노톤(애쉬 메탈릭 그라데이션),승용,5인승,2WD,101가8254,2021년,오토,"51,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
232,2020.06.16,"50,138km",가솔린,"3,470cc",카본 메탈,하바나 브라운(애쉬 칼라 그라데이션),승용,5인승,AWD,290고7133,2020년,오토,"49,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
233,2020.06.21,"12,115km",가솔린,"2,497cc",로얄 블루,하바나 브라운(애쉬 칼라 그라데이션),승용,5인승,AWD,204부1966,2020년,오토,"55,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
234,2020.11.09,"77,664km",가솔린,"2,497cc",태즈먼 블루,하바나 브라운,승용,5인승,AWD,204부1946,2020년,오토,"45,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
235,2021.03.29,"79,732km",가솔린,"2,497cc",비크 블랙,블랙모노톤,승용,5인승,AWD,204부1976,2021년,오토,"46,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
236,2023.09.25,"6,415km",가솔린,"2,497cc",한라산 그린,바닐라 베이지 카본,승용,5인승,AWD,165거3331,2023년,오토,"75,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
237,2021.03.04,"87,654km",가솔린,"2,497cc",비크 블랙,블랙모노톤,승용,5인승,AWD,204부1953,2021년,오토,"43,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
238,2022.04.25,"35,106km",가솔린,"3,470cc",마칼루 그레이,옵시디언블랙모노톤/레드스티치,승용,5인승,AWD,334더2382,2022년,오토,"59,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
239,2020.06.03,"30,001km",가솔린,"2,497cc",비크 블랙,블랙모노톤(애쉬 메탈릭 그라데이션),승용,5인승,2WD,224러6249,2020년,오토,"49,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
240,2021.05.24,"24,374km",가솔린,"2,497cc",비크 블랙,블랙모노톤,승용,5인승,AWD,105너5364,2021년,오토,"44,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
241,2020.07.02,"80,079km",가솔린,"2,497cc",태즈먼 블루,포레스트 블루,승용,5인승,AWD,319모3011,2020년,오토,"44,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
242,2020.04.21,"83,192km",가솔린,"2,497cc",카본 메탈,블랙모노톤,승용,5인승,AWD,207마3306,2020년,오토,"39,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
243,2022.01.26,"29,112km",가솔린,"3,470cc",비크 블랙,옵시디언블랙모노톤/레드스티치,승용,5인승,AWD,115두4753,2022년,오토,"58,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
244,2020.09.06,"71,783km",가솔린,"3,470cc",카본 메탈,블랙모노톤(애쉬 메탈릭 그라데이션),승용,5인승,AWD,163우2994,2020년,오토,"46,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
245,2019.12.09,"85,091km",디젤,"2,199cc",비크 블랙,블랙모노톤,승용,5인승,2WD,163우2960,2019년,오토,"25,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 선루프, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤",
246,2021.01.20,"40,353km",가솔린,"2,497cc",그레이스풀그레이,하바나 브라운(애쉬 칼라 그라데이션),승용,5인승,2WD,175소1095,2021년,오토,"43,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
247,2021.12.13,"47,043km",가솔린,"2,497cc",비크 블랙,블랙모노톤(올리브 애쉬),승용,5인승,2WD,178더4120,2021년,오토,"47,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
248,2021.02.07,"15,109km",가솔린,"2,497cc",핀도스 그린,하바나 브라운,승용,5인승,AWD,344나2068,2021년,오토,"49,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
249,2020.08.31,"24,483km",가솔린,"3,470cc",멜버른 그레이(매트),블랙모노톤(애쉬 메탈릭 그라데이션),승용,5인승,AWD,126고3965,2020년,오토,"49,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
250,2021.01.27,"63,363km",가솔린,"2,497cc",태즈먼 블루,듄 베이지(올리브 애쉬),승용,5인승,AWD,344나2090,2021년,오토,"47,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
251,2020.09.10,"56,663km",가솔린,"2,497cc",비크 블랙,블랙모노톤(올리브 애쉬),승용,5인승,2WD,183무1416,2020년,오토,"47,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
252,2020.10.27,"81,581km",가솔린,"3,778cc",카본 메탈,블랙/마룬브라운투톤(마룬브라운시트),승용,5인승,AWD,141누5268,2020년,오토,"56,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
253,2020.04.06,"48,180km",가솔린,"3,778cc",비크 블랙,블랙모노톤(블랙시트),승용,5인승,AWD,183무1435,2020년,오토,"57,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
254,2020.03.12,"92,285km",가솔린,"3,778cc",로얄 블루,블랙모노톤,승용,5인승,AWD,158오9503,2020년,오토,"49,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
255,2021.04.12,"20,875km",가솔린,"3,778cc",비크 블랙,블랙모노톤,승용,5인승,2WD,390노7538,2021년,오토,"54,100,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
256,2020.03.03,"69,713km",가솔린,"3,342cc",비크 블랙,블랙모노톤(블랙시트),승용,5인승,2WD,163우2928,2020년,오토,"35,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
257,2019.12.08,"70,163km",가솔린,"3,342cc",비크 블랙,블랙모노톤(블랙시트),승용,5인승,2WD,390노7563,2019년,오토,"31,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
258,2020.01.15,"19,931km",가솔린,"3,342cc",카본 메탈,브라운/베이지투톤(베이지시트),승용,5인승,AWD,373부9198,2020년,오토,"37,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
259,2021.04.21,"31,585km",가솔린,"2,497cc",그레이스풀그레이,바닐라 베이지(유칼립투스),승용,5인승,AWD,190저6216,2021년,오토,"53,100,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
260,2019.10.29,"73,343km",디젤,"2,199cc",세빌 실버,브라운/베이지투톤(베이지시트),승용,5인승,AWD,373부9194,2019년,오토,"39,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
261,2020.12.22,"64,563km",가솔린,"3,778cc",비크 블랙,블랙모노톤(블랙시트),승용,4인승,AWD,303너8463,2020년,오토,"57,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
262,2020.04.06,"18,762km",가솔린,"3,778cc",로얄 블루,마룬브라운/하바나브라운투톤(마룬브라운시트),승용,5인승,2WD,390노7567,2020년,오토,"52,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
263,2020.03.30,"65,390km",가솔린,"3,778cc",로얄 블루,마룬브라운/블루투톤(블루시트),승용,5인승,AWD,390노7531,2020년,오토,"54,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
264,2020.05.14,"95,744km",가솔린,"3,342cc",비크 블랙,블랙모노톤(블랙시트),승용,5인승,AWD,384서9023,2020년,오토,"57,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
265,2020.08.09,"54,655km",가솔린,"3,470cc",비크 블랙,블랙모노톤(애쉬 칼라 그라데이션),승용,5인승,AWD,286다8143,2020년,오토,"47,600,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
