최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option,Unnamed: 14
2021.03.11,"62,446km",가솔린,"3,342cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,217머5704,2021년,오토,"28,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2020.06.11,"21,464km",가솔린,"2,497cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,240구7135,2020년,오토,"31,600,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2020.06.09,"68,886km",가솔린,"2,497cc",옥스퍼드 블루 메탈릭,카키 모노톤,승용,5인승,2WD,373오8665,2020년,오토,"29,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2020.05.12,"52,901km",가솔린,"2,497cc",옥스퍼드 블루 메탈릭,블랙모노톤,승용,5인승,2WD,240구7186,2020년,오토,"30,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2021.06.07,"25,236km",가솔린,"2,497cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,321너8463,2021년,오토,"31,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2020.09.20,"60,003km",가솔린,"2,497cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,149무7940,2020년,오토,"23,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 전동시트(1열), 가죽 시트, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2020.06.29,"79,279km",가솔린,"2,497cc",녹턴 그레이 메탈릭,블랙모노톤,승용,5인승,2WD,204부1922,2020년,오토,"25,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 전방 주차거리 경고",
2020.03.18,"65,201km",가솔린,"2,497cc",미드나잇 블랙 펄,브라운,승용,5인승,2WD,204부1950,2020년,오토,"28,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2022.11.07,"73,985km",가솔린,"2,497cc",어비스블랙펄,블랙모노톤,승용,5인승,2WD,204부1913,2022년,오토,"28,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
,,,,,,,,,,,,,", , , , , , , , , , , , ",
