최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option
2021.02.09,"29,845km",하이브리드,"1,999cc",크리미 화이트 펄,블랙모노톤,승용,5인승,2WD,163조2006,2021년,오토,"28,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.06.23,"72,845km",하이브리드,"1,999cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,183무1440,2020년,오토,"23,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 선루프, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.01.09,"15,924km",가솔린,"1,999cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,307로5111,2022년,오토,"21,500,000","하이패스, 열선 스티어링 휠, 열선 시트 (1열), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤"
2022.02.22,"23,497km",가솔린,"1,999cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,319고7926,2022년,오토,"24,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 전방 주차거리 경고"
2019.07.01,"33,955km",가솔린,"1,999cc",글로잉옐로우,그레이지투톤,승용,5인승,2WD,126고3968,2019년,오토,"22,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.03.16,"58,336km",가솔린,"1,999cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,114두1505,2020년,오토,"22,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.01.21,"44,552km",가솔린,"1,999cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,114두1549,2020년,오토,"19,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 전동 시트 (운전석), 후방 모니터, 차선 이탈 경보"
2022.01.27,"25,999km",가솔린,"2,497cc",플레임 레드 메탈릭,다크그레이+레드엑센,승용,5인승,2WD,305누6649,2022년,오토,"27,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 후방 모니터, 차선 이탈 경보, 전방 주차거리 경고"
2019.07.14,"50,041km",가솔린,"1,999cc",옥스퍼드 블루 메탈릭,그레이지투톤,승용,5인승,2WD,183무1462,2019년,오토,"21,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.03.22,"68,417km",하이브리드,"1,999cc",크리미 화이트 펄,블랙모노톤,승용,5인승,2WD,288마5724,2022년,오토,"27,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 전동 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.01.03,"11,067km",가솔린,"1,999cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,223더6593,2022년,오토,"24,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 전동 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.06.02,"45,441km",가솔린,"1,999cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,227루9251,2021년,오토,"21,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 전동 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 전방 주차거리 경고"
2021.03.03,"25,822km",하이브리드,"1,999cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,168두2295,2021년,오토,"27,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 전방 주차거리 경고"
2021.11.14,"37,119km",가솔린,"1,999cc",녹턴 그레이 메탈릭,블랙모노톤,승용,5인승,2WD,204부1965,2021년,오토,"21,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍시트(1열), 전동 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 전방 주차거리 경고"
