최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option,Unnamed: 14
2020.03.25,"68,817km",디젤,"2,996cc",카본 메탈,블루/듄 베이지 투톤(블랙애쉬),SUV,5인승,AWD,324나1242,2020년,오토,"59,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2021.02.01,"69,673km",가솔린,"2,497cc",우유니 화이트,바닐라베이지투톤,SUV,5인승,AWD,234노3628,2021년,오토,"51,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2020.04.09,"72,536km",디젤,"2,996cc",세빌 실버,블랙모노톤,SUV,5인승,AWD,135모8858,2020년,오토,"49,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2021.03.28,"44,118km",디젤,"2,996cc",카본 메탈,바닐라베이지투톤,SUV,5인승,AWD,136주1811,2021년,오토,"51,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2022.10.31,"23,945km",디젤,"2,996cc",카본 메탈,브라운/베이지 투톤(베이지시트),SUV,6인승,AWD,123보5473,2022년,오토,"59,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2021.03.08,"67,867km",디젤,"2,996cc",골드코스트 실버,블루/듄 베이지 투톤(버취),SUV,7인승,AWD,126로9252,2021년,오토,"58,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2020.11.15,"55,470km",디젤,"2,996cc",카본 메탈,블랙/베이지 투톤(블랙애쉬),SUV,5인승,AWD,396소9774,2020년,오토,"61,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2020.05.18,"48,224km",디젤,"2,996cc",카본 메탈,블랙모노톤(블랙 애쉬),SUV,5인승,AWD,398어3847,2020년,오토,"60,600,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2022.07.12,"28,640km",가솔린,"2,497cc",카본 메탈,브라운/베이지 투톤(베이지시트),SUV,5인승,AWD,376수3963,2022년,오토,"59,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2021.02.04,"73,047km",가솔린,"3,470cc",카본 메탈,블랙모노톤,SUV,7인승,AWD,390모6333,2021년,오토,"52,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
