최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option
2023.09.07,"8,671km",디젤,"2,199cc",크리미 화이트,라이트그레이,승합,7인승,2WD,233저1161,2023년,오토,"50,600,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2023.09.11,"5,545km",디젤,"2,199cc",크리미 화이트,라이트그레이,승합,7인승,AWD,219부6916,2023년,오토,"56,600,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열/2열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.08.30,"42,944km",디젤,"2,199cc",쉬머링 실버 메탈릭,블랙모노톤,승합,5인승,2WD,92소3713,2021년,오토,"24,800,000","열선 스티어링 휠, 열선 시트 (1열), 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤"
