최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option,Unnamed: 14
2019.03.24,"58,587km",디젤,"1,995cc",팬텀 블랙 펄,블랙모노톤,SUV,5인승,2WD,175소1082,2019년,오토,"24,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2021.04.05,"43,722km",디젤,"2,151cc",크리미 화이트 펄,브라운,SUV,5인승,2WD,211누6783,2021년,오토,"28,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2020.03.11,"58,953km",디젤,"1,995cc",스토미 씨,블랙모노톤,SUV,7인승,2WD,234보7600,2020년,오토,"24,600,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
,,,,,,,,,,,,,", , , , , , , ",
2021.03.29,"68,168km",디젤,"2,151cc",마그네틱 그레이 메탈릭,블랙,SUV,5인승,AWD,301노4262,2021년,오토,"32,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2023.06.29,"13,610km",하이브리드,"1,598cc",크리미 화이트 펄,브라운,SUV,5인승,2WD,131다9922,2023년,오토,"40,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 선루프, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2020.03.09,"17,839km",디젤,"2,199cc",크리미 화이트 펄,블랙모노톤,SUV,5인승,AWD,234노3650,2020년,오토,"28,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동 시트 (운전석), 전동식 트렁크, 후방 모니터, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2021.04.05,"30,576km",가솔린,"2,497cc",글래시어 화이트 메탈릭,블랙모노톤,SUV,5인승,AWD,233로6090,2021년,오토,"28,900,000","열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 선루프, 후방 모니터, 차선 이탈 경보, 전방 주차거리 경고",
2020.07.23,"27,764km",디젤,"2,151cc",크리미 화이트 펄,블랙모노톤,SUV,5인승,2WD,165러2179,2020년,오토,"29,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 선루프, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2021.12.14,"14,971km",디젤,"2,151cc",마그네틱 그레이 메탈릭,블랙모노톤,SUV,5인승,2WD,276노5143,2021년,오토,"28,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 후방 모니터, 차선 이탈 경보, 전방 주차거리 경고",
2020.06.30,"52,631km",가솔린,"1,998cc",마그네틱 그레이 메탈릭,블랙모노톤,SUV,5인승,2WD,105너5372,2020년,오토,"25,100,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동 시트 (운전석), 전동식 트렁크, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2021.03.25,"64,747km",디젤,"2,151cc",마그네틱 그레이 메탈릭,블랙모노톤,SUV,5인승,2WD,223더6524,2021년,오토,"29,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2020.03.25,"53,944km",디젤,"1,995cc",팬텀 블랙 펄,다크베이지 투톤,SUV,5인승,2WD,158오9584,2020년,오토,"28,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2021.08.30,"10,943km",디젤,"2,151cc",크리미 화이트 펄,블랙모노톤,SUV,5인승,2WD,390노7505,2021년,오토,"28,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2021.01.04,"28,620km",디젤,"2,151cc",크리미 화이트 펄,카멜,SUV,5인승,AWD,171다6750,2021년,오토,"35,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2022.03.22,"24,053km",하이브리드,"1,598cc",글래시어 화이트 메탈릭,라이트그레이,SUV,5인승,2WD,377부5146,2022년,오토,"40,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2022.05.24,"19,056km",하이브리드,"1,598cc",크리미 화이트 펄,블랙,SUV,7인승,2WD,168구6474,2022년,오토,"41,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
