최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option
2021.11.17,"9,714km",가솔린,998cc,톰보이 카키,다크그레이/라이트카키(오렌지포인트),SUV,4인승,2WD,233로6036,2021년,오토,"15,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤"
2022.04.19,"8,323km",가솔린,998cc,아틀라스 화이트,블랙모노톤,SUV,4인승,2WD,233로6035,2022년,오토,"14,600,000","열선 스티어링 휠, 열선 시트 (1열), 통풍 시트 (운전석), 차선 이탈 경보"
2021.10.12,"35,738km",가솔린,998cc,티탄 그레이 메탈릭,블랙모노톤,SUV,4인승,2WD,185마5871,2021년,오토,"15,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤"
2022.10.16,"11,414km",가솔린,998cc,소울트로닉 오렌지 펄,블랙모노톤,SUV,4인승,2WD,152도6568,2022년,오토,"13,500,000","내비게이션, 후방 모니터, 차선 이탈 경보"
2022.05.26,"4,577km",가솔린,998cc,아틀라스 화이트,블랙모노톤,SUV,4인승,2WD,312저6861,2022년,오토,"16,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤"
2023.10.29,"12,798km",가솔린,998cc,아틀라스 화이트,블랙모노톤,SUV,4인승,2WD,173더9078,2023년,오토,"17,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선 시트 (1열), 통풍 시트 (운전석), 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤"
