최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option
2020.04.27,"40,302km",가솔린,"2,497cc",녹턴 그레이 메탈릭,카키 모노톤,승용,5인승,2WD,135더6649,2020년,오토,"32,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.04.22,"73,593km",가솔린,"3,342cc",미드나잇 블랙 펄,브라운,승용,5인승,2WD,251가5942,2020년,오토,"29,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.05.12,"16,880km",가솔린,"2,497cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,251가5917,2020년,오토,"29,100,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 차선 이탈 경보, 전방 주차거리 경고"
2021.04.18,"14,371km",가솔린,"3,342cc",옥스퍼드 블루 메탈릭,블랙모노톤,승용,5인승,2WD,175보4371,2021년,오토,"31,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.06.22,"2,508km",하이브리드,"2,359cc",크리미 화이트 펄,브라운,승용,5인승,2WD,188노9306,2022년,오토,"41,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.06.29,"29,088km",가솔린,"2,497cc",크리미 화이트 펄,베이지,승용,5인승,2WD,250다8133,2020년,오토,"31,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.02.16,"49,174km",하이브리드,"2,359cc",미드나잇 블랙 펄,브라운,승용,5인승,2WD,138무7984,2020년,오토,"33,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 전방 주차거리 경고"
2021.05.23,"47,194km",가솔린,"2,497cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,250다8101,2021년,오토,"26,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 후방 모니터, 차선 이탈 경보, 전방 주차거리 경고"
2022.04.06,"53,667km",가솔린,"2,497cc",크리미 화이트 펄,블랙/베이지(베이지시트),승용,5인승,2WD,250다8187,2022년,오토,"31,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.06.28,"72,843km",가솔린,"2,497cc",녹턴 그레이 메탈릭,베이지,승용,5인승,2WD,389노7521,2020년,오토,"28,100,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.03.05,"39,153km",가솔린,"2,497cc",크리미 화이트 펄,브라운,승용,5인승,2WD,394모4758,2020년,오토,"29,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
